food_name,protein,iron,vitamin_c,vitamin_d,fiber,category,health_score,vitamin_a,vitamin_b12
apple juice,0.1,0.1,1.0,0.0,0.2,beverage,2.3,25.0,0.0
black coffee,0.3,0.0,0.0,0.0,0.0,beverage,2.3,15.0,0.4
coconut water,0.7,0.3,2.0,0.0,0.5,beverage,2.4,0.0,0.0
coffee,0.3,0.0,0.0,0.0,0.0,beverage,2.3,15.0,0.4
cola,0.0,0.0,0.0,0.0,0.0,beverage,1.0,0.0,0.0
filter coffee,0.5,0.1,0.0,0.0,0.0,beverage,2.3,15.0,0.4
fruit punch,0.4,0.2,30.0,0.0,0.5,beverage,2.6,25.0,0.0
grape juice,0.4,0.2,20.0,0.0,0.1,beverage,2.4,25.0,0.0
green tea,0.0,0.0,0.0,0.0,0.0,beverage,2.3,450.0,0.0
iced tea,0.1,0.1,5.0,0.0,0.0,beverage,2.3,0.0,0.0
lemon juice,0.4,0.6,40.0,0.0,0.3,beverage,2.6,25.0,0.0
masala chai,2.0,0.2,0.0,1.0,0.0,beverage,2.5,15.0,0.4
orange juice,0.7,0.2,50.0,0.0,0.2,beverage,2.6,25.0,0.0
pepsi,0.0,0.0,0.0,0.0,0.0,beverage,1.0,0.0,0.0
tea,2.0,0.1,0.0,1.0,0.0,beverage,2.5,0.0,0.0
almond milk,0.6,0.2,0.0,1.5,0.0,dairy,2.3,50.0,0.4
badam milk,5.0,1.0,2.0,2.0,1.0,dairy,3.0,50.0,0.4
badam shake,6.0,1.0,2.0,2.0,1.0,dairy,3.1,25.0,0.0
banana shake,4.0,0.5,10.0,2.0,2.0,dairy,3.1,25.0,0.0
butter,0.9,0.0,0.0,7.0,0.0,dairy,2.4,50.0,0.4
buttermilk,3.0,0.1,2.0,1.5,0.0,dairy,2.6,50.0,0.4
chaas,3.0,0.1,2.0,1.5,0.0,dairy,2.6,50.0,0.4
cheese,25.0,0.7,0.0,5.0,0.0,dairy,4.9,50.0,0.4
chocolate milkshake,5.0,0.5,0.0,2.0,1.0,dairy,3.0,50.0,0.4
cream,2.0,0.1,0.0,3.0,0.0,dairy,2.5,50.0,0.4
curd,3.5,0.1,1.0,2.0,0.0,dairy,2.6,50.0,0.4
ghee,0.0,0.0,0.0,8.0,0.0,dairy,2.3,50.0,0.4
mango shake,4.0,0.5,15.0,2.0,2.0,dairy,3.1,150.0,0.0
milk,3.4,0.1,0.0,2.5,0.0,dairy,2.6,50.0,0.4
paneer,18.0,0.2,0.0,5.0,0.0,dairy,4.1,50.0,0.4
peda,4.5,0.5,0.0,2.0,0.5,dairy,2.8,0.0,0.0
rose milk,3.5,0.5,1.0,2.0,0.0,dairy,2.7,50.0,0.4
salt lassi,3.5,0.1,2.0,2.0,0.0,dairy,2.7,50.0,0.4
sandesh,5.0,0.5,0.0,2.0,0.5,dairy,2.9,0.0,0.0
skim milk,3.4,0.1,0.0,1.0,0.0,dairy,2.6,50.0,0.4
soy milk,3.3,1.0,0.0,2.0,0.0,dairy,2.6,50.0,0.4
turmeric milk,3.5,0.2,1.0,2.0,0.0,dairy,2.7,50.0,0.4
yogurt,3.5,0.1,1.0,2.0,0.0,dairy,2.6,50.0,0.4
aam panna,1.0,0.5,20.0,0.0,1.0,fruit,3.2,25.0,0.0
apple,0.3,0.1,5.0,0.0,2.4,fruit,3.2,25.0,0.0
apricot,1.4,0.4,10.0,0.0,2.0,fruit,3.3,150.0,0.0
avocado,1.5,0.6,10.0,0.0,6.7,fruit,4.0,25.0,0.0
banana,1.1,0.3,9.0,0.0,2.6,fruit,3.4,25.0,0.0
blackberry,1.4,0.6,21.0,0.0,5.3,fruit,3.9,25.0,0.0
blueberry,0.7,0.3,10.0,0.0,2.4,fruit,3.3,25.0,0.0
cherry,1.1,0.4,7.0,0.0,2.1,fruit,3.3,25.0,0.0
coconut,1.5,2.4,3.0,0.0,9.0,fruit,4.4,25.0,0.0
custard apple,1.5,0.6,19.0,0.0,2.4,fruit,3.4,25.0,0.0
dates,1.5,1.0,0.0,0.0,6.7,fruit,4.0,25.0,0.0
dragon fruit,1.2,0.4,3.0,0.0,1.8,fruit,3.2,25.0,0.0
figs,0.8,0.4,2.0,0.0,2.9,fruit,3.3,25.0,0.0
fruit chaat,1.5,0.5,35.0,0.0,3.0,fruit,3.6,25.0,0.0
fruit salad,1.5,0.5,30.0,0.0,3.0,fruit,3.6,25.0,0.0
grapes,0.6,0.4,10.0,0.0,0.9,fruit,3.1,25.0,0.0
guava,1.5,0.3,228.0,0.0,5.4,fruit,5.0,25.0,0.0
jackfruit,1.5,0.6,14.0,0.0,1.5,fruit,3.3,25.0,0.0
kiwi,1.1,0.3,93.0,0.0,3.0,fruit,3.9,25.0,0.0
lemon,1.1,0.6,53.0,0.0,2.8,fruit,3.6,25.0,0.0
lime,0.7,0.6,29.0,0.0,2.8,fruit,3.5,25.0,0.0
mango,0.8,0.2,36.0,0.0,1.6,fruit,3.3,150.0,0.0
orange,0.9,0.1,53.0,0.0,2.2,fruit,3.5,25.0,0.0
papaya,0.5,0.1,60.0,0.0,1.7,fruit,3.4,150.0,0.0
peach,0.9,0.3,6.0,0.0,1.5,fruit,3.2,25.0,0.0
pear,0.4,0.2,4.0,0.0,3.1,fruit,3.3,25.0,0.0
pineapple,0.5,0.3,47.0,0.0,1.4,fruit,3.3,25.0,0.0
plum,0.7,0.2,9.0,0.0,1.4,fruit,3.1,25.0,0.0
pomegranate,1.5,0.3,10.0,0.0,4.0,fruit,3.6,25.0,0.0
raspberry,1.2,0.7,26.0,0.0,6.5,fruit,4.1,25.0,0.0
